quiz_id,question,options,answer,points
27,"If I put 6 socks in the dryer and only 10 come out, how many socks are lost in Narnia?",4 cars; 86 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,1.0
27,"If I put 6 socks in the dryer and only 9 come out, how many socks are lost in Narnia?",1 cars; 92 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.05
28,"If I order 5 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",1 cars; 48 socks; Gravity goes on vacation; Regret is not measurable,1 cars,1.0
28,"If I go to the mall with $4 to buy a car that costs $15, how many cars do I come back with?",5 cars; 61 socks; Gravity goes on vacation; Regret is not measurable,5 cars,0.05
28,"In 1412, something very important happened. How many of us remember it correctly?",2 cars; 88 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.25
29,"If I put 8 socks in the dryer and only 13 come out, how many socks are lost in Narnia?",1 cars; 49 socks; Gravity goes on vacation; Regret is not measurable,49 socks,0.25
29,"If the Earth took a coffee break for 2 hours, what would happen to gravity?",5 cars; 40 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.05
29,"If the Earth took a coffee break for 9 hours, what would happen to gravity?",5 cars; 15 socks; Gravity goes on vacation; Regret is not measurable,5 cars,0.25
30,"If I go to the mall with $2 to buy a car that costs $19, how many cars do I come back with?",0 cars; 75 socks; Gravity goes on vacation; Regret is not measurable,0 cars,0.05
30,"If I order 8 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",5 cars; 33 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.25
30,"If I put 2 socks in the dryer and only 11 come out, how many socks are lost in Narnia?",5 cars; 35 socks; Gravity goes on vacation; Regret is not measurable,35 socks,0.333
31,"If I put 9 socks in the dryer and only 10 come out, how many socks are lost in Narnia?",5 cars; 24 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.05
31,"If I go to the mall with $9 to buy a car that costs $16, how many cars do I come back with?",4 cars; 44 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.05
31,"If I go to the mall with $3 to buy a car that costs $5, how many cars do I come back with?",0 cars; 70 socks; Gravity goes on vacation; Regret is not measurable,0 cars,0.5
32,"If I go to the mall with $6 to buy a car that costs $5, how many cars do I come back with?",0 cars; 56 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.25
32,"If the Earth took a coffee break for 5 hours, what would happen to gravity?",4 cars; 90 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.333
32,"If I order 10 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",2 cars; 91 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.05
33,"If I put 1 socks in the dryer and only 8 come out, how many socks are lost in Narnia?",2 cars; 71 socks; Gravity goes on vacation; Regret is not measurable,2 cars,0.333
33,"In 1318, something very important happened. How many of us remember it correctly?",4 cars; 40 socks; Gravity goes on vacation; Regret is not measurable,40 socks,0.05
33,"In 1521, something very important happened. How many of us remember it correctly?",4 cars; 29 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.05
34,"If I put 1 socks in the dryer and only 15 come out, how many socks are lost in Narnia?",1 cars; 45 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,1.0
34,"If I put 2 socks in the dryer and only 18 come out, how many socks are lost in Narnia?",4 cars; 97 socks; Gravity goes on vacation; Regret is not measurable,4 cars,0.05
34,"In 1578, something very important happened. How many of us remember it correctly?",2 cars; 50 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.05
35,"If I put 1 socks in the dryer and only 14 come out, how many socks are lost in Narnia?",3 cars; 35 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.25
35,"If I put 5 socks in the dryer and only 7 come out, how many socks are lost in Narnia?",0 cars; 60 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,1.0
35,"In 1668, something very important happened. How many of us remember it correctly?",3 cars; 73 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.333
36,"In 1667, something very important happened. How many of us remember it correctly?",2 cars; 82 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.25
36,"If I go to the mall with $3 to buy a car that costs $15, how many cars do I come back with?",1 cars; 68 socks; Gravity goes on vacation; Regret is not measurable,68 socks,0.25
36,"If I put 4 socks in the dryer and only 20 come out, how many socks are lost in Narnia?",4 cars; 26 socks; Gravity goes on vacation; Regret is not measurable,4 cars,0.5
37,"If the Earth took a coffee break for 6 hours, what would happen to gravity?",0 cars; 20 socks; Gravity goes on vacation; Regret is not measurable,20 socks,0.05
37,"If I order 8 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",4 cars; 16 socks; Gravity goes on vacation; Regret is not measurable,16 socks,0.333
37,"In 1344, something very important happened. How many of us remember it correctly?",1 cars; 23 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.333
38,"If I put 7 socks in the dryer and only 6 come out, how many socks are lost in Narnia?",0 cars; 100 socks; Gravity goes on vacation; Regret is not measurable,0 cars,0.333
38,"In 1229, something very important happened. How many of us remember it correctly?",0 cars; 13 socks; Gravity goes on vacation; Regret is not measurable,0 cars,0.5
38,"If the Earth took a coffee break for 5 hours, what would happen to gravity?",2 cars; 47 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.05
39,"In 1926, something very important happened. How many of us remember it correctly?",0 cars; 80 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.05
39,"If I order 1 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",2 cars; 35 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,1.0
39,"If I put 2 socks in the dryer and only 5 come out, how many socks are lost in Narnia?",4 cars; 24 socks; Gravity goes on vacation; Regret is not measurable,24 socks,1.0
40,"If the Earth took a coffee break for 10 hours, what would happen to gravity?",1 cars; 92 socks; Gravity goes on vacation; Regret is not measurable,92 socks,0.333
40,"If the Earth took a coffee break for 7 hours, what would happen to gravity?",2 cars; 14 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.333
40,"If I order 5 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",2 cars; 71 socks; Gravity goes on vacation; Regret is not measurable,71 socks,0.05
41,"If I go to the mall with $7 to buy a car that costs $11, how many cars do I come back with?",2 cars; 52 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,1.0
41,"If I order 3 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",5 cars; 33 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.25
41,"If the Earth took a coffee break for 10 hours, what would happen to gravity?",3 cars; 21 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.05
42,"If the Earth took a coffee break for 9 hours, what would happen to gravity?",0 cars; 48 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.25
42,"In 1352, something very important happened. How many of us remember it correctly?",4 cars; 40 socks; Gravity goes on vacation; Regret is not measurable,4 cars,0.25
42,"If I put 10 socks in the dryer and only 20 come out, how many socks are lost in Narnia?",3 cars; 72 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.5
43,"If the Earth took a coffee break for 1 hours, what would happen to gravity?",1 cars; 75 socks; Gravity goes on vacation; Regret is not measurable,75 socks,0.05
43,"If I order 8 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",1 cars; 12 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,1.0
43,"In 1482, something very important happened. How many of us remember it correctly?",0 cars; 44 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,1.0
44,"If the Earth took a coffee break for 9 hours, what would happen to gravity?",5 cars; 64 socks; Gravity goes on vacation; Regret is not measurable,64 socks,0.5
44,"If I put 2 socks in the dryer and only 18 come out, how many socks are lost in Narnia?",5 cars; 35 socks; Gravity goes on vacation; Regret is not measurable,5 cars,0.333
44,"In 1424, something very important happened. How many of us remember it correctly?",2 cars; 55 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.333
45,"If I order 4 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",2 cars; 29 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.5
45,"If I go to the mall with $4 to buy a car that costs $6, how many cars do I come back with?",5 cars; 40 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.25
45,"If I order 1 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",5 cars; 70 socks; Gravity goes on vacation; Regret is not measurable,70 socks,0.333
46,"If I put 2 socks in the dryer and only 10 come out, how many socks are lost in Narnia?",3 cars; 50 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.333
46,"If I go to the mall with $4 to buy a car that costs $18, how many cars do I come back with?",1 cars; 100 socks; Gravity goes on vacation; Regret is not measurable,100 socks,0.05
46,"If I put 7 socks in the dryer and only 20 come out, how many socks are lost in Narnia?",4 cars; 50 socks; Gravity goes on vacation; Regret is not measurable,4 cars,1.0
47,"If I order 6 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",1 cars; 94 socks; Gravity goes on vacation; Regret is not measurable,94 socks,1.0
47,"If I put 6 socks in the dryer and only 19 come out, how many socks are lost in Narnia?",4 cars; 32 socks; Gravity goes on vacation; Regret is not measurable,32 socks,1.0
47,"If I order 8 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",3 cars; 26 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,1.0
48,"In 1256, something very important happened. How many of us remember it correctly?",1 cars; 44 socks; Gravity goes on vacation; Regret is not measurable,1 cars,0.333
48,"If the Earth took a coffee break for 8 hours, what would happen to gravity?",1 cars; 19 socks; Gravity goes on vacation; Regret is not measurable,1 cars,0.05
48,"If I go to the mall with $7 to buy a car that costs $11, how many cars do I come back with?",3 cars; 82 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.25
49,"If I go to the mall with $5 to buy a car that costs $14, how many cars do I come back with?",0 cars; 83 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,1.0
49,"If I order 8 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",3 cars; 43 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.25
49,"In 1455, something very important happened. How many of us remember it correctly?",1 cars; 71 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.05
50,"If I order 1 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",1 cars; 91 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.5
50,"If I put 4 socks in the dryer and only 19 come out, how many socks are lost in Narnia?",0 cars; 42 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,1.0
50,"In 1956, something very important happened. How many of us remember it correctly?",0 cars; 21 socks; Gravity goes on vacation; Regret is not measurable,0 cars,0.333
51,"If I order 8 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",5 cars; 84 socks; Gravity goes on vacation; Regret is not measurable,5 cars,0.05
51,"In 1906, something very important happened. How many of us remember it correctly?",0 cars; 82 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.25
51,"If I put 6 socks in the dryer and only 5 come out, how many socks are lost in Narnia?",2 cars; 62 socks; Gravity goes on vacation; Regret is not measurable,2 cars,1.0
52,"If I order 2 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",4 cars; 36 socks; Gravity goes on vacation; Regret is not measurable,4 cars,0.5
52,"If I put 1 socks in the dryer and only 7 come out, how many socks are lost in Narnia?",0 cars; 44 socks; Gravity goes on vacation; Regret is not measurable,0 cars,0.25
52,"If I put 4 socks in the dryer and only 18 come out, how many socks are lost in Narnia?",0 cars; 77 socks; Gravity goes on vacation; Regret is not measurable,0 cars,0.05
53,"If the Earth took a coffee break for 8 hours, what would happen to gravity?",1 cars; 60 socks; Gravity goes on vacation; Regret is not measurable,60 socks,0.05
53,"If the Earth took a coffee break for 2 hours, what would happen to gravity?",4 cars; 31 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.05
53,"If the Earth took a coffee break for 2 hours, what would happen to gravity?",4 cars; 33 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.05
54,"If the Earth took a coffee break for 1 hours, what would happen to gravity?",4 cars; 60 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.333
54,"If I order 2 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",1 cars; 47 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,1.0
54,"In 1968, something very important happened. How many of us remember it correctly?",0 cars; 99 socks; Gravity goes on vacation; Regret is not measurable,99 socks,0.05
55,"If I go to the mall with $9 to buy a car that costs $12, how many cars do I come back with?",2 cars; 30 socks; Gravity goes on vacation; Regret is not measurable,30 socks,0.25
55,"If I go to the mall with $5 to buy a car that costs $17, how many cars do I come back with?",0 cars; 51 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.333
55,"If I put 7 socks in the dryer and only 16 come out, how many socks are lost in Narnia?",3 cars; 56 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,1.0
56,"If I order 9 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",4 cars; 57 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.333
56,"If the Earth took a coffee break for 5 hours, what would happen to gravity?",3 cars; 15 socks; Gravity goes on vacation; Regret is not measurable,15 socks,0.333
56,"In 1628, something very important happened. How many of us remember it correctly?",4 cars; 55 socks; Gravity goes on vacation; Regret is not measurable,4 cars,0.05
57,"If I order 8 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",3 cars; 47 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.25
57,"In 1455, something very important happened. How many of us remember it correctly?",3 cars; 46 socks; Gravity goes on vacation; Regret is not measurable,3 cars,1.0
57,"If I put 5 socks in the dryer and only 8 come out, how many socks are lost in Narnia?",3 cars; 18 socks; Gravity goes on vacation; Regret is not measurable,18 socks,1.0
58,"If the Earth took a coffee break for 5 hours, what would happen to gravity?",4 cars; 77 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.05
58,"If I order 7 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",2 cars; 59 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.05
58,"If the Earth took a coffee break for 3 hours, what would happen to gravity?",3 cars; 70 socks; Gravity goes on vacation; Regret is not measurable,3 cars,0.05
59,"If the Earth took a coffee break for 2 hours, what would happen to gravity?",1 cars; 10 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.25
59,"In 1560, something very important happened. How many of us remember it correctly?",0 cars; 21 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.333
59,"If I go to the mall with $6 to buy a car that costs $8, how many cars do I come back with?",0 cars; 94 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.5
60,"If the Earth took a coffee break for 5 hours, what would happen to gravity?",3 cars; 82 socks; Gravity goes on vacation; Regret is not measurable,82 socks,1.0
60,"In 1516, something very important happened. How many of us remember it correctly?",1 cars; 91 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.333
60,"If I put 8 socks in the dryer and only 18 come out, how many socks are lost in Narnia?",1 cars; 16 socks; Gravity goes on vacation; Regret is not measurable,1 cars,1.0
61,"In 1658, something very important happened. How many of us remember it correctly?",2 cars; 56 socks; Gravity goes on vacation; Regret is not measurable,56 socks,0.05
61,"In 1883, something very important happened. How many of us remember it correctly?",0 cars; 79 socks; Gravity goes on vacation; Regret is not measurable,0 cars,0.05
